Titulo;Link;Precio Normal;Precio Online;Modelo;Marca;Tarjeta de Video;Procesador;Memoria Ram;Pulgadas Pantalla;Tipo de Almacenamiento;Almacenamiento;Tipo de Pantalla;Tipo de Memoria Ram;Tienda;Precio Normal_categ;Precio Online_categ;cluster_predicted
"Laptop Asus ROG Flow X13 GV301QH 13.4"" AMD Ryzen 9 5980HS 1TB SSD 16GB RAM GTX 1650 + XG Mobile RTX 3080";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-asus-rog-flow-x13-gv301qh-13-4-amd-ryzen-9-5980hs-1tb-ssd-16gb-ram-gtx-1650-xg-mobile-rtx-3080;15199;15199;ROG Flow X13 GV301QH;ASUS;NVIDIA GeForce GTX 1650 ;AMD Ryzen 9;16GB;13.4'';SSD;1TB;WUXGA;DDR4;Hiraoka;10000-15200;10000-15200;0
"Laptop Gamer Acer PT516-51S-76HY 16"" Intel Core i7-11800H 1TB SSD 32GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gamer-acer-pt516-51s-76hy-16-intel-core-i7-11800h-1tb-ssd-32gb-ram;13999;13399;PT516-51S-76HY;ACER;NVIDIA GeForce RTX 3080;Intel Core i7;8GB;16'';SSD;1TB;WQXGA;DDR4;Hiraoka;10000-15200;10000-15200;0
Laptop Gamer ASUS ROG Flow X13 GV301QH 13.4'' Ryzen 9-5980HS 16GB RAM 1TB SSD 16GB Video RTX3080;https://www.oechsle.pe/laptop-gamer-asus-rog-flow-x13-gv301qh-13-4---ryzen-9-5980hs-16gb-ram-1tb-ssd-16gb-video-rtx3080/p;13699;13099;GV301QH-K6320T;ASUS;AMD;AMD Ryzen 9;16GB;13.4'';SSD;1TB;IPS;;Oechsle;10000-15200;10000-15200;0
"Apple Macbook Pro 13.3"" RAM 16GB 2TB SSD Silver Late 2020";https://www.plazavea.com.pe/apple-macbook-pro-13-3-ram-16gb-2tb-ssd-silver-late-2020-100151790/p;13075;13075;Z11F-MYDA-07;APPLE;Intel;M1;16GB;13.3'';SSD;2TB;IPS;;Plazavea;10000-15200;10000-15200;0
"Laptop HP Zbook Firefly 15 G8 I7-1165 16GB 512GB IX + T500 Windows 11 Pro DG W10 15.6""";https://www.oechsle.pe/laptop-hp-zbook-firefly-15-g8-i7-1165-16gb-512gb-ix---t500-windows-11-pro-dg-w10-15-6---1000241135/p;14959;11809;IX + T500 ;HP;Intel;Intel Core i7;16GB;15.6'';SSD;512GB;FHD;;Oechsle;10000-15200;10000-15200;0
"Laptop Gamer MSI GP66 LEOPARD-11UG 15.6"" Intel Core i7-11800H 512GB SSD 16GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gamer-msi-gp66-leopard-11ug-15-6-intel-core-i7-11800h-512gb-ssd-16gb-ram;8999;11199;MSI GP66 LEOPARD-11UG;MSI;NVIDIA GeForce RTX 3070;Intel Core i7;16GB;15.6'';SSD;512GB;FHD;DDR4;Hiraoka;8200-9200;10000-15200;0
"Notebook ACER AN515-55-777V 15.6"" Intel Core i7 16GB 256GB SSD";https://www.plazavea.com.pe/notebook-acer-an51555777v-15-6--intel-core-i7-16gb-256gb-ssd/p;9399;9399;AN515-55-777V;ACER;NVIDIA;Intel Core i7;16GB;15.6'';SSD/HDD;256GB ;LED IPS;DDR4;Plazavea;9200-10000;9200-10000;0
"Laptop Gamer ASUS ROG M16 GU603ZE 16"" i7-12700H 512GB SSD 16GB RAM 4GB RTX3050Ti";https://www.oechsle.pe/laptop-gamer-asus-rog-m16-gu603ze-16-i7-12700h-512gb-ssd-16gb-ram-4gb-rtx3050ti-2070371/p;9699;8999;GU603ZE-LS020W;ASUS;Intel;Intel Core i7;16GB;16'';SSD;512GB;WUXGA;;Oechsle;9200-10000;8200-9200;0
"Laptop Gaming Asus ROG Zephyrus M16 GU603ZE-LS020W 16"" Intel Core i7-12700H 512GB 16GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gaming-asus-rog-zephyrus-m16-gu603ze-ls020w-16-intel-core-i7-12700h-512gb-16gb-ram;8999;8199;GU603ZE-LS020W;ASUS;NVIDIA GeForce RTX 3050;Intel Core i7;16GB;16'';SSD;512GB;IPS;DDR5;Hiraoka;8200-9200;7200-8200;0
"Laptop Gamer MSI Stealth 15M-A11UEK 15.6"" Intel Core i7-11375H 512GB SSD 16GB RAM";https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gamer-msi-stealth-15m-a11uek-15-6-intel-core-i7-11375h-512gb-ssd-16gb-ram;9299;8099;MSI Stealth 15M-A11UEK;MSI;NVIDIA GeForce RTX 3060;Intel Core i7;16GB;15.6'';SSD;512GB;FHD;DDR4;Hiraoka;9200-10000;7200-8200;0
